source_id,target_id,edge_type_id,edge_weight
19,44,4,0.9
19,55,4,0.9
19,56,4,0.9
19,65,4,0.9
19,66,4,0.9
19,70,4,0.9
19,78,4,0.9
19,81,4,0.9
19,84,4,0.9
19,86,4,0.9
19,95,4,0.9
19,96,4,0.9
19,97,4,0.9
19,101,4,0.9
19,104,4,0.9
19,105,4,0.9
19,106,4,0.9
19,111,4,0.9
19,116,4,0.9
19,124,4,0.9
19,125,4,0.9
20,25,4,0.9
20,32,4,0.9
20,35,4,0.9
20,36,4,0.9
20,44,4,0.9
20,56,4,0.9
20,65,4,0.9
20,66,4,0.9
20,70,4,0.9
20,84,4,0.9
20,86,4,0.9
20,94,4,0.9
20,95,4,0.9
20,96,4,0.9
20,97,4,0.9
20,104,4,0.9
20,105,4,0.9
20,111,4,0.9
20,116,4,0.9
25,36,4,0.9
25,55,4,0.9
25,56,4,0.9
25,62,4,0.9
25,65,4,0.9
25,66,4,0.9
25,70,4,0.9
25,81,4,0.9
25,84,4,0.9
25,97,4,0.9
25,101,4,0.9
25,104,4,0.9
25,106,4,0.9
25,116,4,0.9
25,117,4,0.9
32,35,4,0.9
32,42,4,0.9
32,44,4,0.9
32,65,4,0.9
32,66,4,0.9
32,70,4,0.9
32,95,4,0.9
32,96,4,0.9
32,97,4,0.9
32,104,4,0.9
32,105,4,0.9
32,116,4,0.9
35,36,4,0.9
35,44,4,0.7
35,65,4,0.9
35,66,4,0.9
